common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Goldcrest,http://app.bto.org/birdfacts/results/bob13140.htm,Regulus regulus,"Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Territories,GC,GOLDC,707106.7811865465
Wren,http://app.bto.org/birdfacts/results/bob10660.htm,Troglodytes troglodytes,"Resident Breeder, Passage/Winter Visitor",7.7E06 Territories,WR,WREN.,7700000.0
Nuthatch,http://app.bto.org/birdfacts/results/bob14790.htm,Sitta europaea,Resident Breeder,100000 - 500000 Territories,NH,NUTHA,223606.79774997893
Red-breasted Nuthatch,http://app.bto.org/birdfacts/results/bob14720.htm,Sitta canadensis,Accidental,1-10 Records,,,3.1622776601683795
Wallcreeper,http://app.bto.org/birdfacts/results/bob14820.htm,Tichodroma muraria,Accidental,1-10 Records,,WALLC,3.1622776601683795
Treecreeper,http://app.bto.org/birdfacts/results/bob14860.htm,Certhia familiaris,Resident Breeder,100000 - 500000 Territories,TC,TREEC,223606.79774997893
Short-toed Treecreeper,http://app.bto.org/birdfacts/results/bob14870.htm,Certhia brachydactyla,Accidental,10 - 100 Records,TH,SHTTR,31.622776601683803
Grey Catbird,http://app.bto.org/birdfacts/results/bob10800.htm,Dumetella carolinensis,Accidental,1-10 Records,,,3.1622776601683795
Northern Mockingbird,http://app.bto.org/birdfacts/results/bob10670.htm,Mimus polyglottos,Accidental,1-10 Records,,,3.1622776601683795
Brown Thrasher,http://app.bto.org/birdfacts/results/bob10690.htm,Toxostoma rufum,Accidental,1-10 Records,,BROTH,3.1622776601683795
Rose-coloured Starling,http://app.bto.org/birdfacts/results/bob15840.htm,Pastor roseus,Scarce Visitor,10 - 100 Birds,OE,ROCST,31.622776601683803
Starling,http://app.bto.org/birdfacts/results/bob15820.htm,Sturnus vulgaris,"Resident Breeder, Passage/Winter Visitor",1.8E06 Pairs,SG,STARL,1800000.0
Siberian Thrush,http://app.bto.org/birdfacts/results/bob11710.htm,Geokichla sibirica,Accidental,10 - 100 Records,,SIBTH,31.622776601683803
White’s Thrush,http://app.bto.org/birdfacts/results/bob11700.htm,Zoothera aurea,Accidental,10 - 100 Records,,WHITH,31.622776601683803
Varied Thrush,http://app.bto.org/birdfacts/results/bob11720.htm,Ixoreus naevius,Accidental,1-10 Records,VT,,3.1622776601683795
Veery,http://app.bto.org/birdfacts/results/bob11790.htm,Catharus fuscescens,Accidental,10 - 100 Records,,VEERY,31.622776601683803
Grey-cheeked Thrush,http://app.bto.org/birdfacts/results/bob11781.htm,Catharus minimus,Accidental,10 - 100 Records,,GRATH,31.622776601683803
