date,from,to,id_from,name_from,city_from,country_from,iata_from,icao_from,lat_from,lng_from,id_to,name_to,city_to,country_to,iata_to,icao_to,lat_to,lng_to,distance
2010-08-12,London Gatwick Airport,Palma De Mallorca Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,3998,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551700592,2.7388100624,813.5845675903
2010-08-21,Palma De Mallorca Airport,London Gatwick Airport,3998,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551700592,2.7388100624,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,813.5845675903
2011-03-19,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2011-03-12,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2011-02-08,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2011-02-01,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2010-02-27,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2010-02-20,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2009-11-21,José Martí International Airport,London Gatwick Airport,1909,José Martí International Airport,Havana,Cuba,HAV,MUHA,22.989200592,-82.4091033936,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,4665.2665953859
2009-10-11,London Gatwick Airport,José Martí International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1909,José Martí International Airport,Havana,Cuba,HAV,MUHA,22.989200592,-82.4091033936,4665.2665953859
