common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common,scientific_name_lower_bl,wiki_status,scientific_name_lower_wiki,inaturalist_id,inaturalist_scientific_name,inaturalist_common_name
Tufted Puffin,http://app.bto.org/birdfacts/results/bob35650.htm,Fratercula cirrhata,Accidental,1-10 Records,,,3.1622776601683795,fratercula cirrhata,A rare vagrant,fratercula cirrhata,4509,Fratercula cirrhata,Tufted Puffin
Red-billed Tropicbird,http://app.bto.org/birdfacts/results/bob640.htm,Phaethon aethereus,Accidental,1-10 Records,,,3.1622776601683795,phaethon aethereus,A rare vagrant,phaethon aethereus,4317,Phaethon aethereus,Red-billed Tropicbird
Ascension Frigatebird,http://app.bto.org/birdfacts/results/bob99030.htm,Fregata aquila,Accidental,1-10 Records,,,3.1622776601683795,fregata aquila,A rare vagrant,fregata aquila,4630,Fregata aquila,Ascension Frigatebird
Red-throated Diver,http://app.bto.org/birdfacts/results/bob20.htm,Gavia stellata,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,RH,RETDI,3162.277660168381,gavia stellata,A resident breeder and winter visitor,gavia stellata,4627,Gavia stellata,Red-throated Loon
Black-throated Diver,http://app.bto.org/birdfacts/results/bob30.htm,Gavia arctica,"Migrant/Resident Breeder, Winter Visitor",100-500 Pairs,BV,BLTDI,223.606797749979,gavia arctica,A resident breeder and winter visitor,gavia arctica,4623,Gavia arctica,Arctic Loon
Pacific Diver,http://app.bto.org/birdfacts/results/bob32.htm,Gavia pacifica,Accidental,1-10 Records,KD,,3.1622776601683795,gavia pacifica,A rare vagrant,gavia pacifica,4621,Gavia pacifica,Pacific Loon
Great Northern Diver,http://app.bto.org/birdfacts/results/bob40.htm,Gavia immer,"Scarce Breeder, Winter Visitor",1000 - 10000 Birds,ND,GRNDI,3162.277660168381,gavia immer,"A winter visitor, has bred",gavia immer,4626,Gavia immer,Common Loon
White-billed Diver,http://app.bto.org/birdfacts/results/bob50.htm,Gavia adamsii,Scarce Visitor,10 - 100 Birds,WV,WHBDI,31.622776601683803,gavia adamsii,A rare vagrant,gavia adamsii,4622,Gavia adamsii,Yellow-billed Loon
Wilson’s Storm Petrel,http://app.bto.org/birdfacts/results/bob500.htm,Oceanites oceanicus,Scarce Visitor,10 - 100 Birds,,WILPE,31.622776601683803,oceanites oceanicus,,,4146,Oceanites oceanicus,Wilson's Storm-Petrel
White-faced Storm Petrel,http://app.bto.org/birdfacts/results/bob510.htm,Pelagodroma marina,Not Recorded since 1897, ,,WHFPE,,pelagodroma marina,A rare vagrant,pelagodroma marina,4153,Pelagodroma marina,White-faced Storm-Petrel
Black-browed Albatross,http://app.bto.org/birdfacts/results/bob140.htm,Thalassarche melanophris,Accidental,10 - 100 Records,AA,BLBAL,31.622776601683803,thalassarche melanophris,A rare vagrant,thalassarche melanophris,144433,Thalassarche melanophris,Black-browed Albatross
Atlantic Yellow-nosed Albatross,http://app.bto.org/birdfacts/results/bob151.htm,Thalassarche chlororhynchos,Accidental,1-10 Records,,YENAL,3.1622776601683795,thalassarche chlororhynchos,A rare vagrant,thalassarche chlororhynchos,501159,Thalassarche chlororhynchos chlororhynchos,Atlantic Yellow-nosed Albatross
Storm Petrel,http://app.bto.org/birdfacts/results/bob520.htm,Hydrobates pelagicus,Migrant Breeder,10000 - 100000 Nests,TM,STOPE,31622.776601683774,hydrobates pelagicus,,,4170,Hydrobates pelagicus,European Storm-Petrel
Swinhoe’s Storm Petrel,http://app.bto.org/birdfacts/results/bob560.htm,Oceanodroma monorhis,Accidental,1-10 Records,,SWSPE,3.1622776601683795,oceanodroma monorhis,,,4075,Oceanodroma monorhis,Swinhoe's Storm-Petrel
Leach’s Petrel,http://app.bto.org/birdfacts/results/bob550.htm,Oceanodroma leucorhoa,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,TL,LEAPE,31622.776601683774,oceanodroma leucorhoa,,,4080,Oceanodroma leucorhoa,Leach's Storm-Petrel
Fulmar,http://app.bto.org/birdfacts/results/bob220.htm,Fulmarus glacialis,"Migrant/Resident Breeder, Passage Visitor",500000 - 1E06 Pairs,F.,FULMA,707106.7811865465,fulmarus glacialis,,,4180,Fulmarus glacialis,Northern Fulmar
Black-capped Petrel,http://app.bto.org/birdfacts/results/bob290.htm,Pterodroma hasitata,Accidental,1-10 Records,,BLCPE,3.1622776601683795,pterodroma hasitata,,,4029,Pterodroma hasitata,Black-capped Petrel
Scopoli's Shearwater,http://app.bto.org/birdfacts/results/bob361.htm,Calonectris diomedea,Accidental,1-10 Records,,,3.1622776601683795,calonectris diomedea,A rare vagrant,calonectris diomedea,335074,Calonectris diomedea diomedea,Scopoli's Shearwater
Cory’s Shearwater,http://app.bto.org/birdfacts/results/bob360.htm,Calonectris borealis,Scarce Migrant,500 - 1000 Birds,CQ,CORSH,707.1067811865472,calonectris borealis,,,342042,Calonectris diomedea borealis,Cory's Shearwater
Sooty Shearwater,http://app.bto.org/birdfacts/results/bob430.htm,Ardenna grisea,Passage Visitor, ,OT,SOOSH,,ardenna grisea,A passage migrant,ardenna grisea,502899,Ardenna grisea,Sooty Shearwater
Great Shearwater,http://app.bto.org/birdfacts/results/bob400.htm,Ardenna gravis,Scarce Migrant, ,GQ,GRTSH,,ardenna gravis,A passage migrant,ardenna gravis,475120,Ardenna gravis,Great Shearwater
Manx Shearwater,http://app.bto.org/birdfacts/results/bob460.htm,Puffinus puffinus,Migrant Breeder,100000 - 500000 Pairs,MX,MANSH,223606.7977499789,puffinus puffinus,A breeding summer visitor,puffinus puffinus,4093,Puffinus puffinus,Manx Shearwater
Yelkouan Shearwater,http://app.bto.org/birdfacts/results/bob462.htm,Puffinus yelkouan,Accidental,1-10 Records,,,3.1622776601683795,puffinus yelkouan,A rare vagrant,puffinus yelkouan,4109,Puffinus yelkouan,Yelkouan Shearwater
Balearic Shearwater,http://app.bto.org/birdfacts/results/bob463.htm,Puffinus mauretanicus,Passage Visitor,1000 - 10000 Birds,YQ,BALSH,3162.277660168381,puffinus mauretanicus,A passage migrant,puffinus mauretanicus,73315,Puffinus mauretanicus,Balearic Shearwater
Barolo Shearwater,http://app.bto.org/birdfacts/results/bob482.htm,Puffinus baroli,Accidental,10 - 100 Records,MV,LITSH,31.622776601683803,puffinus baroli,,,144441,Puffinus baroli,Barolo Shearwater
Black Stork,http://app.bto.org/birdfacts/results/bob1310.htm,Ciconia nigra,Accidental,100-500 Records,OS,BLAST,223.606797749979,ciconia nigra,A rare vagrant,ciconia nigra,4736,Ciconia nigra,Black Stork
White Stork,http://app.bto.org/birdfacts/results/bob1340.htm,Ciconia ciconia,"Former Breeder, Scarce Visitor",10 - 100 Birds,OR,WHIST,31.622776601683803,ciconia ciconia,"A scarce migrant, formerly bred",ciconia ciconia,4733,Ciconia ciconia,White Stork
Magnificent Frigatebird,http://app.bto.org/birdfacts/results/bob930.htm,Fregata magnificens,Accidental,1-10 Records,,,3.1622776601683795,fregata magnificens,A rare vagrant,fregata magnificens,4631,Fregata magnificens,Magnificent Frigatebird
Gannet,http://app.bto.org/birdfacts/results/bob710.htm,Morus bassanus,"Migrant/Resident Breeder, Passage Visitor",100000 - 500000 Nests,GX,GANNE,223606.7977499789,morus bassanus,,,3802,Morus bassanus,Northern Gannet
Red-footed Booby,http://app.bto.org/birdfacts/results/bob670.htm,Sula sula,Accidental,1-10 Records,,,3.1622776601683795,sula sula,A rare vagrant,sula sula,3793,Sula sula,Red-footed Booby
Double-crested Cormorant,http://app.bto.org/birdfacts/results/bob780.htm,Phalacrocorax auritus,Accidental,1-10 Records,,,3.1622776601683795,phalacrocorax auritus,A rare vagrant,phalacrocorax auritus,4265,Phalacrocorax auritus,Double-crested Cormorant
Shag,http://app.bto.org/birdfacts/results/bob800.htm,Phalacrocorax aristotelis,Resident Breeder,10000 - 100000 Pairs,SA,SHAG.,31622.776601683774,phalacrocorax aristotelis,,,4272,Phalacrocorax aristotelis,European Shag
Cormorant,http://app.bto.org/birdfacts/results/bob720.htm,Phalacrocorax carbo,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,CA,CORMO,3162.277660168381,phalacrocorax carbo,,,4270,Phalacrocorax carbo,Great Cormorant
Glossy Ibis,http://app.bto.org/birdfacts/results/bob1360.htm,Plegadis falcinellus,Scarce Visitor,10 - 100 Birds,IB,GLOIB,31.622776601683803,plegadis falcinellus,A rare vagrant,plegadis falcinellus,3756,Plegadis falcinellus,Glossy Ibis
Spoonbill,http://app.bto.org/birdfacts/results/bob1440.htm,Platalea leucorodia,"Former, but now Scarce, Breeder, Scarce Visitor",10 - 100 Birds,NB,SPOON,31.622776601683803,platalea leucorodia,,,3731,Platalea leucorodia,Eurasian Spoonbill
Bittern,http://app.bto.org/birdfacts/results/bob950.htm,Botaurus stellaris,"Resident Breeder, Winter Visitor",10 - 100 Males,BI,BITTE,31.622776601683803,botaurus stellaris,,,5033,Botaurus stellaris,Eurasian Bittern
American Bittern,http://app.bto.org/birdfacts/results/bob960.htm,Botaurus lentiginosus,Accidental,1-10 Records,AM,AMEBI,3.1622776601683795,botaurus lentiginosus,A rare vagrant,botaurus lentiginosus,5034,Botaurus lentiginosus,American Bittern
Little Bittern,http://app.bto.org/birdfacts/results/bob980.htm,Ixobrychus minutus,"Accidental, Has Bred",100-500 Records,LL,LITBI,223.606797749979,ixobrychus minutus,"A scarce migrant, recently bred",ixobrychus minutus,204527,Ixobrychus minutus,Little Bittern
Night Heron,http://app.bto.org/birdfacts/results/bob1040.htm,Nycticorax nycticorax,"Escaped Breeder, Scarce Visitor",10 - 100 Birds,NT,NIGHE,31.622776601683803,nycticorax nycticorax,,,4981,Nycticorax nycticorax,Black-crowned Night-Heron
Green Heron,http://app.bto.org/birdfacts/results/bob1070.htm,Butorides virescens,Accidental,1-10 Records,HR,GRBHE,3.1622776601683795,butorides virescens,A rare vagrant,butorides virescens,5020,Butorides virescens,Green Heron
Squacco Heron,http://app.bto.org/birdfacts/results/bob1080.htm,Ardeola ralloides,Accidental,10 - 100 Records,QH,SQUHE,31.622776601683803,ardeola ralloides,A rare vagrant,ardeola ralloides,4994,Ardeola ralloides,Squacco Heron
Chinese Pond Heron,http://app.bto.org/birdfacts/results/bob1100.htm,Ardeola bacchus,Accidental,1-10 Records,,,3.1622776601683795,ardeola bacchus,A rare vagrant,ardeola bacchus,4990,Ardeola bacchus,Chinese Pond-Heron
Cattle Egret,http://app.bto.org/birdfacts/results/bob1110.htm,Bubulcus ibis,"Scarce Visitor, Has Bred",10 - 100 Birds,EC,CATEG,31.622776601683803,bubulcus ibis,"A scarce but increasing resident, recently bred",bubulcus ibis,5017,Bubulcus ibis,Cattle Egret
Grey Heron,http://app.bto.org/birdfacts/results/bob1220.htm,Ardea cinerea,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,H.,GREHE,31622.776601683774,ardea cinerea,A resident breeding species and winter migrant,ardea cinerea,4954,Ardea cinerea,Grey Heron
Great Blue Heron,http://app.bto.org/birdfacts/results/bob1230.htm,Ardea herodias,Accidental,1-10 Records,,,3.1622776601683795,ardea herodias,A rare vagrant,ardea herodias,4956,Ardea herodias,Great Blue Heron
Purple Heron,http://app.bto.org/birdfacts/results/bob1240.htm,Ardea purpurea,"Scarce Visitor, Has Bred",10 - 100 Birds,UR,PURHE,31.622776601683803,ardea purpurea,"A scarce migrant, recently bred",ardea purpurea,4951,Ardea purpurea,Purple Heron
Great White Egret,http://app.bto.org/birdfacts/results/bob1210.htm,Ardea alba,"Scarce Visitor, Has Bred",10 - 100 Birds,HW,GRWEG,31.622776601683803,ardea alba,,,144455,Ardea alba,Great Egret
Snowy Egret,http://app.bto.org/birdfacts/results/bob1150.htm,Egretta thula,Accidental,1-10 Records,NY,,3.1622776601683795,egretta thula,A rare vagrant,egretta thula,4940,Egretta thula,Snowy Egret
Little Egret,http://app.bto.org/birdfacts/results/bob1190.htm,Egretta garzetta,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,ET,LITEG,707.1067811865472,egretta garzetta,A resident breeding species and passage migrant,egretta garzetta,4943,Egretta garzetta,Little Egret
Dalmatian Pelican,http://app.bto.org/birdfacts/results/bob890.htm,Pelecanus crispus,Accidental,1-10 Records,,,3.1622776601683795,pelecanus crispus,A very rare migrant,pelecanus crispus,4333,Pelecanus crispus,Dalmatian Pelican
Osprey,http://app.bto.org/birdfacts/results/bob3010.htm,Pandion haliaetus,"Migrant Breeder, Passage Visitor",100-500 Pairs,OP,OSPRE,223.606797749979,pandion haliaetus,A breeding summer visitor,pandion haliaetus,116999,Pandion haliaetus,Osprey
Egyptian Vulture,http://app.bto.org/birdfacts/results/bob2470.htm,Neophron percnopterus,Not Recorded since 1868, ,,EGYVU,,neophron percnopterus,B rare vagrant,neophron percnopterus,5361,Neophron percnopterus,Egyptian Vulture
Honey-buzzard,http://app.bto.org/birdfacts/results/bob2310.htm,Pernis apivorus,"Migrant Breeder, Passage Visitor",100-500 Pairs,HZ,HONBU,223.606797749979,pernis apivorus,,,5325,Pernis apivorus,European Honey-buzzard
Short-toed Eagle,http://app.bto.org/birdfacts/results/bob2560.htm,Circaetus gallicus,Accidental,1-10 Records,,SHTEA,3.1622776601683795,circaetus gallicus,,,5242,Circaetus gallicus,Short-toed Snake-Eagle
Spotted Eagle,http://app.bto.org/birdfacts/results/bob2930.htm,Clanga clanga,Not Recorded since 1915, ,,SPOEA,,clanga clanga,,,201035,Clanga clanga,Greater Spotted Eagle
Golden Eagle,http://app.bto.org/birdfacts/results/bob2960.htm,Aquila chrysaetos,Resident Breeder,100-500 Pairs,EA,GOLEA,223.606797749979,aquila chrysaetos,A resident breeding species,aquila chrysaetos,5074,Aquila chrysaetos,Golden Eagle
Sparrowhawk,http://app.bto.org/birdfacts/results/bob2690.htm,Accipiter nisus,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,SH,SPARR,31622.776601683774,accipiter nisus,,,5106,Accipiter nisus,Eurasian Sparrowhawk
