common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common,scientific_name_lower_bl,wiki_status,scientific_name_lower_wiki,inaturalist_id,inaturalist_scientific_name,inaturalist_common_name
Pale-legged Leaf Warbler,http://app.bto.org/birdfacts/results/bob12880.htm,Phylloscopus tenellipes,Accidental,1-10 Records,,,3.1622776601683795,phylloscopus tenellipes,A rare vagrant,phylloscopus tenellipes,117052,Phylloscopus tenellipes,Pale-legged Leaf Warbler
Arctic Warbler,http://app.bto.org/birdfacts/results/bob12950.htm,Phylloscopus borealis,Scarce Visitor,100-500 Records,AP,ARCWA,223.606797749979,phylloscopus borealis,A scarce migrant,phylloscopus borealis,117008,Phylloscopus borealis,Arctic Warbler
Great Reed Warbler,http://app.bto.org/birdfacts/results/bob12530.htm,Acrocephalus arundinaceus,Accidental,100-500 Records,QW,GRRWA,223.606797749979,acrocephalus arundinaceus,"A rare vagrant, has bred",acrocephalus arundinaceus,204456,Acrocephalus arundinaceus,Great Reed Warbler
Aquatic Warbler,http://app.bto.org/birdfacts/results/bob12420.htm,Acrocephalus paludicola,Passage Visitor,10 - 100 Birds,AQ,AQUWA,31.622776601683803,acrocephalus paludicola,A scarce migrant,acrocephalus paludicola,117181,Acrocephalus paludicola,Aquatic Warbler
Sedge Warbler,http://app.bto.org/birdfacts/results/bob12430.htm,Acrocephalus schoenobaenus,"Migrant Breeder, Passage Visitor",100000 - 500000 Territories,SW,SEDWA,223606.7977499789,acrocephalus schoenobaenus,A breeding summer visitor,acrocephalus schoenobaenus,116804,Acrocephalus schoenobaenus,Sedge Warbler
Paddyfield Warbler,http://app.bto.org/birdfacts/results/bob12470.htm,Acrocephalus agricola,Accidental,100-500 Records,PY,PADWA,223.606797749979,acrocephalus agricola,A rare vagrant,acrocephalus agricola,116791,Acrocephalus agricola,Paddyfield Warbler
Blyth’s Reed Warbler,http://app.bto.org/birdfacts/results/bob12480.htm,Acrocephalus dumetorum,Scarce Visitor,10 - 100 Birds,DU,BLRWA,31.622776601683803,acrocephalus dumetorum,,,116797,Acrocephalus dumetorum,Blyth's Reed Warbler
Reed Warbler,http://app.bto.org/birdfacts/results/bob12510.htm,Acrocephalus scirpaceus,"Migrant Breeder, Passage Visitor",100000 - 500000 Pairs,RW,REEWA,223606.7977499789,acrocephalus scirpaceus,,,204455,Acrocephalus scirpaceus,Eurasian Reed Warbler
Marsh Warbler,http://app.bto.org/birdfacts/results/bob12500.htm,Acrocephalus palustris,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,MW,MARWA,31.622776601683803,acrocephalus palustris,A breeding summer visitor,acrocephalus palustris,116802,Acrocephalus palustris,Marsh Warbler
Thick-billed Warbler,http://app.bto.org/birdfacts/results/bob12540.htm,Arundinax aedon,Accidental,1-10 Records,,THBWA,3.1622776601683795,arundinax aedon,A rare vagrant,arundinax aedon,793194,Arundinax aedon,Thick-billed Warbler
Booted Warbler,http://app.bto.org/birdfacts/results/bob12560.htm,Iduna caligata,Accidental,100-500 Records,DM,BOOWA,223.606797749979,iduna caligata,A rare vagrant,iduna caligata,201178,Iduna caligata,Booted Warbler
Sykes’s Warbler,http://app.bto.org/birdfacts/results/bob12562.htm,Iduna rama,Accidental,10 - 100 Records,,SYKWA,31.622776601683803,iduna rama,,,201179,Iduna rama,Sykes's Warbler
Eastern Olivaceous Warbler,http://app.bto.org/birdfacts/results/bob12550.htm,Iduna pallida,Accidental,10 - 100 Records,,EAOWA,31.622776601683803,iduna pallida,A rare vagrant,iduna pallida,201180,Iduna pallida,Eastern Olivaceous Warbler
Olive-tree Warbler,http://app.bto.org/birdfacts/results/bob12580.htm,Hippolais olivetorum,Accidental,1-10 Records,,,3.1622776601683795,hippolais olivetorum,A rare vagrant,hippolais olivetorum,116920,Hippolais olivetorum,Olive-tree Warbler
Melodious Warbler,http://app.bto.org/birdfacts/results/bob12600.htm,Hippolais polyglotta,Scarce Visitor,10 - 100 Birds,ME,MELWA,31.622776601683803,hippolais polyglotta,"A scarce migrant, occasional breeder",hippolais polyglotta,116923,Hippolais polyglotta,Melodious Warbler
Icterine Warbler,http://app.bto.org/birdfacts/results/bob12590.htm,Hippolais icterina,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,IC,ICTWA,31.622776601683803,hippolais icterina,"A scarce migrant, occasional breeder",hippolais icterina,116918,Hippolais icterina,Icterine Warbler
Pallas’s Grasshopper Warbler,http://app.bto.org/birdfacts/results/bob12330.htm,Helopsaltes certhiola,Accidental,10 - 100 Records,,PAGWA,31.622776601683803,helopsaltes certhiola,,,116936,Locustella certhiola,Pallas's Grasshopper-Warbler
Lanceolated Warbler,http://app.bto.org/birdfacts/results/bob12350.htm,Locustella lanceolata,Accidental,100-500 Records,,LANWA,223.606797749979,locustella lanceolata,A rare vagrant,locustella lanceolata,116939,Locustella lanceolata,Lanceolated Warbler
Grasshopper Warbler,http://app.bto.org/birdfacts/results/bob12360.htm,Locustella naevia,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,GH,GRAWA,31622.776601683774,locustella naevia,A breeding summer visitor,locustella naevia,116941,Locustella naevia,Common Grasshopper-Warbler
River Warbler,http://app.bto.org/birdfacts/results/bob12370.htm,Locustella fluviatilis,Accidental,10 - 100 Records,VW,RIVWA,31.622776601683803,locustella fluviatilis,A rare vagrant,locustella fluviatilis,116938,Locustella fluviatilis,River Warbler
Savi’s Warbler,http://app.bto.org/birdfacts/results/bob12380.htm,Locustella luscinioides,"Scarce Visitor, Scarce Breeder",500 - 1000 Records,VI,SAVWA,707.1067811865472,locustella luscinioides,,,116940,Locustella luscinioides,Savi's Warbler
Zitting Cisticola,http://app.bto.org/birdfacts/results/bob12260.htm,Cisticola juncidis,Accidental,1-10 Records,FZ,FATWA,3.1622776601683795,cisticola juncidis,A rare vagrant,cisticola juncidis,7697,Cisticola juncidis,Zitting Cisticola
Blackcap,http://app.bto.org/birdfacts/results/bob12770.htm,Sylvia atricapilla,"Migrant Breeder, Passage/Winter Visitor",1.1E06 Territories,BC,BLACA,1100000.0,sylvia atricapilla,A resident breeding species & summer visitor,sylvia atricapilla,15282,Sylvia atricapilla,Eurasian Blackcap
Garden Warbler,http://app.bto.org/birdfacts/results/bob12760.htm,Sylvia borin,"Migrant Breeder, Passage Visitor",100000 - 500000 Territories,GW,GARWA,223606.7977499789,sylvia borin,A breeding summer visitor,sylvia borin,15302,Sylvia borin,Garden Warbler
Barred Warbler,http://app.bto.org/birdfacts/results/bob12730.htm,Sylvia nisoria,Scarce Visitor,100-500 Birds,RR,BARWA,223.606797749979,sylvia nisoria,A passage migrant,sylvia nisoria,15291,Sylvia nisoria,Barred Warbler
Lesser Whitethroat,http://app.bto.org/birdfacts/results/bob12740.htm,Sylvia curruca,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,LW,LESWH,31622.776601683774,sylvia curruca,A breeding summer visitor,sylvia curruca,15288,Sylvia curruca,Lesser Whitethroat
Western Orphean Warbler,http://app.bto.org/birdfacts/results/bob12720.htm,Sylvia hortensis,Accidental,1-10 Records,,ORPWA,3.1622776601683795,sylvia hortensis,A rare vagrant,sylvia hortensis,15300,Sylvia hortensis,Western Orphean Warbler
Eastern Orphean Warbler,http://app.bto.org/birdfacts/results/bob12722.htm,Sylvia crassirostris,Accidental,1-10 Records,,,3.1622776601683795,sylvia crassirostris,A very rare vagrant,sylvia sylvia crassirostris,144960,Sylvia crassirostris,Eastern Orphean Warbler
Asian Desert Warbler,http://app.bto.org/birdfacts/results/bob12700.htm,Sylvia nana,Accidental,10 - 100 Records,DA,DESWA,31.622776601683803,sylvia nana,A rare vagrant,sylvia nana,15286,Sylvia nana,Asian Desert Warbler
Whitethroat,http://app.bto.org/birdfacts/results/bob12750.htm,Sylvia communis,"Migrant Breeder, Passage Visitor",1.1E06 Territories,WH,WHITE,1100000.0,sylvia communis,A breeding summer visitor,sylvia communis,15281,Sylvia communis,Greater Whitethroat
Dartford Warbler,http://app.bto.org/birdfacts/results/bob12620.htm,Sylvia undata,Resident Breeder,1000 - 10000 Pairs,DW,DARWA,3162.277660168381,sylvia undata,A resident breeding species,sylvia undata,15303,Sylvia undata,Dartford Warbler
Marmora’s Warbler,http://app.bto.org/birdfacts/results/bob12610.htm,Sylvia sarda,Accidental,1-10 Records,,MAMWA,3.1622776601683795,sylvia sarda,,,15280,Sylvia sarda,Marmora's Warbler
Spectacled Warbler,http://app.bto.org/birdfacts/results/bob12640.htm,Sylvia conspicillata,Accidental,1-10 Records,VY,SPEWA,3.1622776601683795,sylvia conspicillata,A rare vagrant,sylvia conspicillata,15285,Sylvia conspicillata,Spectacled Warbler
Subalpine Warbler,http://app.bto.org/birdfacts/results/bob12650.htm,Sylvia cantillans,Scarce Visitor,10 - 100 Birds,VZ,SUBWA,31.622776601683803,sylvia cantillans,A scarce migrant,sylvia cantillans,15283,Sylvia cantillans,Subalpine Warbler
Moltoni's Subalpine Warbler,http://app.bto.org/birdfacts/results/bob12652.htm,Sylvia subalpina,Accidental,1-10 Records,,,3.1622776601683795,sylvia subalpina,,,357153,Sylvia subalpina,Moltoni's Warbler
Sardinian Warbler,http://app.bto.org/birdfacts/results/bob12670.htm,Sylvia melanocephala,Accidental,10 - 100 Records,VX,SARWA,31.622776601683803,sylvia melanocephala,A rare vagrant,sylvia melanocephala,15299,Sylvia melanocephala,Sardinian Warbler
Rüppell’s Warbler,http://app.bto.org/birdfacts/results/bob12690.htm,Sylvia ruppeli,Accidental,1-10 Records,,RUPWA,3.1622776601683795,sylvia ruppeli,,,558534,Sylvia ruppeli,Rüppell's Warbler
Firecrest,http://app.bto.org/birdfacts/results/bob13150.htm,Regulus ignicapilla,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Territories,FC,FIREC,707.1067811865472,regulus ignicapilla,,,117097,Regulus ignicapilla,Common Firecrest
Goldcrest,http://app.bto.org/birdfacts/results/bob13140.htm,Regulus regulus,"Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Territories,GC,GOLDC,707106.7811865465,regulus regulus,A resident breeding species,regulus regulus,793469,Regulus regulus,Goldcrest
Wren,http://app.bto.org/birdfacts/results/bob10660.htm,Troglodytes troglodytes,"Resident Breeder, Passage/Winter Visitor",7.7E06 Territories,WR,WREN.,7700000.0,troglodytes troglodytes,A resident breeding species,troglodytes troglodytes,145363,Troglodytes troglodytes,Eurasian Wren
Nuthatch,http://app.bto.org/birdfacts/results/bob14790.htm,Sitta europaea,Resident Breeder,100000 - 500000 Territories,NH,NUTHA,223606.7977499789,sitta europaea,,,14824,Sitta europaea,Eurasian Nuthatch
Red-breasted Nuthatch,http://app.bto.org/birdfacts/results/bob14720.htm,Sitta canadensis,Accidental,1-10 Records,,,3.1622776601683795,sitta canadensis,A rare vagrant,sitta canadensis,14823,Sitta canadensis,Red-breasted Nuthatch
Wallcreeper,http://app.bto.org/birdfacts/results/bob14820.htm,Tichodroma muraria,Accidental,1-10 Records,,WALLC,3.1622776601683795,tichodroma muraria,A rare vagrant,tichodroma muraria,14840,Tichodroma muraria,Wallcreeper
Treecreeper,http://app.bto.org/birdfacts/results/bob14860.htm,Certhia familiaris,Resident Breeder,100000 - 500000 Territories,TC,TREEC,223606.7977499789,certhia familiaris,,,7450,Certhia familiaris,Eurasian Treecreeper
Short-toed Treecreeper,http://app.bto.org/birdfacts/results/bob14870.htm,Certhia brachydactyla,Accidental,10 - 100 Records,TH,SHTTR,31.622776601683803,certhia brachydactyla,A rare vagrant,certhia brachydactyla,7462,Certhia brachydactyla,Short-toed Treecreeper
Grey Catbird,http://app.bto.org/birdfacts/results/bob10800.htm,Dumetella carolinensis,Accidental,1-10 Records,,,3.1622776601683795,dumetella carolinensis,A rare vagrant (one record),dumetella carolinensis,14995,Dumetella carolinensis,Gray Catbird
Northern Mockingbird,http://app.bto.org/birdfacts/results/bob10670.htm,Mimus polyglottos,Accidental,1-10 Records,,,3.1622776601683795,mimus polyglottos,A rare vagrant,mimus polyglottos,14886,Mimus polyglottos,Northern Mockingbird
Brown Thrasher,http://app.bto.org/birdfacts/results/bob10690.htm,Toxostoma rufum,Accidental,1-10 Records,,BROTH,3.1622776601683795,toxostoma rufum,A rare vagrant (one record),toxostoma rufum,14898,Toxostoma rufum,Brown Thrasher
Rose-coloured Starling,http://app.bto.org/birdfacts/results/bob15840.htm,Pastor roseus,Scarce Visitor,10 - 100 Birds,OE,ROCST,31.622776601683803,pastor roseus,,,145108,Pastor roseus,Rosy Starling
Starling,http://app.bto.org/birdfacts/results/bob15820.htm,Sturnus vulgaris,"Resident Breeder, Passage/Winter Visitor",1.8E06 Pairs,SG,STARL,1800000.0,sturnus vulgaris,,,14850,Sturnus vulgaris,European Starling
Siberian Thrush,http://app.bto.org/birdfacts/results/bob11710.htm,Geokichla sibirica,Accidental,10 - 100 Records,,SIBTH,31.622776601683803,geokichla sibirica,A rare vagrant,geokichla sibirica,201194,Geokichla sibirica,Siberian Thrush
White’s Thrush,http://app.bto.org/birdfacts/results/bob11700.htm,Zoothera aurea,Accidental,10 - 100 Records,,WHITH,31.622776601683803,zoothera aurea,,,497042,Zoothera aurea,White's Thrush
Varied Thrush,http://app.bto.org/birdfacts/results/bob11720.htm,Ixoreus naevius,Accidental,1-10 Records,VT,,3.1622776601683795,ixoreus naevius,A very rare vagrant (one record),ixoreus naevius,145088,Ixoreus naevius,Varied Thrush
Veery,http://app.bto.org/birdfacts/results/bob11790.htm,Catharus fuscescens,Accidental,10 - 100 Records,,VEERY,31.622776601683803,catharus fuscescens,A rare vagrant,catharus fuscescens,12901,Catharus fuscescens,Veery
Grey-cheeked Thrush,http://app.bto.org/birdfacts/results/bob11781.htm,Catharus minimus,Accidental,10 - 100 Records,,GRATH,31.622776601683803,catharus minimus,A rare vagrant,catharus minimus,12883,Catharus minimus,Gray-cheeked Thrush
Swainson’s Thrush,http://app.bto.org/birdfacts/results/bob11770.htm,Catharus ustulatus,Accidental,10 - 100 Records,,SWATH,31.622776601683803,catharus ustulatus,,,12878,Catharus ustulatus,Swainson's Thrush
Hermit Thrush,http://app.bto.org/birdfacts/results/bob11760.htm,Catharus guttatus,Accidental,10 - 100 Records,,HERTH,31.622776601683803,catharus guttatus,A rare vagrant,catharus guttatus,12890,Catharus guttatus,Hermit Thrush
Wood Thrush,http://app.bto.org/birdfacts/results/bob11750.htm,Hylocichla mustelina,Accidental,1-10 Records,,,3.1622776601683795,hylocichla mustelina,A rare vagrant,hylocichla mustelina,13270,Hylocichla mustelina,Wood Thrush
Ring Ouzel,http://app.bto.org/birdfacts/results/bob11860.htm,Turdus torquatus,"Migrant Breeder, Passage Visitor",1000 - 10000 Territories,RZ,RINOU,3162.277660168381,turdus torquatus,A breeding summer visitor,turdus torquatus,12740,Turdus torquatus,Ring Ouzel
Blackbird,http://app.bto.org/birdfacts/results/bob11870.htm,Turdus merula,"Migrant/Resident Breeder, Passage/Winter Visitor",4.9E06 Pairs,B.,BLABI,4900000.0,turdus merula,A resident breeding species,turdus merula,12716,Turdus merula,Eurasian Blackbird
Eyebrowed Thrush,http://app.bto.org/birdfacts/results/bob11950.htm,Turdus obscurus,Accidental,10 - 100 Records,,EYBTH,31.622776601683803,turdus obscurus,A rare vagrant,turdus obscurus,12776,Turdus obscurus,Eyebrowed Thrush
Black-throated Thrush,http://app.bto.org/birdfacts/results/bob11972.htm,Turdus atrogularis,Accidental,10 - 100 Records,XC,BLTTH,31.622776601683803,turdus atrogularis,A rare vagrant,turdus atrogularis,145086,Turdus atrogularis,Black-throated Thrush
Red-throated Thrush,http://app.bto.org/birdfacts/results/bob11971.htm,Turdus ruficollis,Accidental,1-10 Records,,RETTH,3.1622776601683795,turdus ruficollis,A rare vagrant,turdus ruficollis,203819,Turdus ruficollis,Red-throated Thrush
Naumann's Thrush,http://app.bto.org/birdfacts/results/bob11961.htm,Turdus naumanni,Accidental,1-10 Records,,,3.1622776601683795,turdus naumanni,A rare vagrant,turdus naumanni,203818,Turdus naumanni,Naumann's Thrush
Dusky Thrush,http://app.bto.org/birdfacts/results/bob11962.htm,Turdus eunomus,Accidental,10 - 100 Records,,DUSTH,31.622776601683803,turdus eunomus,A rare vagrant,turdus eunomus,145087,Turdus eunomus,Dusky Thrush
Fieldfare,http://app.bto.org/birdfacts/results/bob11980.htm,Turdus pilaris,"Scarce Breeder, Passage/Winter Visitor",500000 - 1E06 Birds,FF,FIELD,707106.7811865465,turdus pilaris,"A winter visitor, rare breeder",turdus pilaris,12707,Turdus pilaris,Fieldfare
Redwing,http://app.bto.org/birdfacts/results/bob12010.htm,Turdus iliacus,"Migrant/Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Birds,RE,REDWI,707106.7811865465,turdus iliacus,"A winter visitor, rare breeder",turdus iliacus,12749,Turdus iliacus,Redwing
Song Thrush,http://app.bto.org/birdfacts/results/bob12000.htm,Turdus philomelos,"Migrant/Resident Breeder, Passage/Winter Visitor",1.1E06 Territories,ST,SONTH,1100000.0,turdus philomelos,A resident breeding species,turdus philomelos,12748,Turdus philomelos,Song Thrush
Mistle Thrush,http://app.bto.org/birdfacts/results/bob12020.htm,Turdus viscivorus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,M.,MISTH,223606.7977499789,turdus viscivorus,A resident breeding species,turdus viscivorus,12735,Turdus viscivorus,Mistle Thrush
American Robin,http://app.bto.org/birdfacts/results/bob12030.htm,Turdus migratorius,Accidental,10 - 100 Records,AR,AMERO,31.622776601683803,turdus migratorius,A rare vagrant,turdus migratorius,12727,Turdus migratorius,American Robin
Rufous-tailed Scrub Robin,http://app.bto.org/birdfacts/results/bob10950.htm,Cercotrichas galactotes,Accidental,1-10 Records,,RUBRO,3.1622776601683795,cercotrichas galactotes,,,145026,Cercotrichas galactotes,Rufous-tailed Scrub-Robin
Spotted Flycatcher,http://app.bto.org/birdfacts/results/bob13350.htm,Muscicapa striata,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,SF,SPOFL,31622.776601683774,muscicapa striata,A breeding summer visitor,muscicapa striata,12971,Muscicapa striata,Spotted Flycatcher
Asian Brown Flycatcher,http://app.bto.org/birdfacts/results/bob99014.htm,Muscicapa dauurica,Accidental,1-10 Records,,,3.1622776601683795,muscicapa dauurica,A rare vagrant,muscicapa dauurica,512431,Muscicapa dauurica,Asian Brown Flycatcher
Robin,http://app.bto.org/birdfacts/results/bob10990.htm,Erithacus rubecula,"Migrant/Resident Breeder, Passage/Winter Visitor",6E06 Territories,R.,ROBIN,6000000.0,erithacus rubecula,,,13094,Erithacus rubecula,European Robin
Siberian Blue Robin,http://app.bto.org/birdfacts/results/bob11120.htm,Larvivora cyane,Accidental,1-10 Records,,,3.1622776601683795,larvivora cyane,A rare vagrant,larvivora cyanea,145060,Larvivora cyane,Siberian Blue Robin
Rufous-tailed Robin,http://app.bto.org/birdfacts/results/bob11020.htm,Larvivora sibilans,Accidental,1-10 Records,,RUTRO,3.1622776601683795,larvivora sibilans,A rare vagrant,larvivora sibilans,145055,Larvivora sibilans,Rufous-tailed Robin
Bluethroat,http://app.bto.org/birdfacts/results/bob11060.htm,Luscinia svecica,"Scarce Breeder, Passage Visitor",10 - 100 Birds,BU,BLUTH,31.622776601683803,luscinia svecica,"A scarce migrant, occasional breeder",luscinia svecica,13071,Luscinia svecica,Bluethroat
Thrush Nightingale,http://app.bto.org/birdfacts/results/bob11030.htm,Luscinia luscinia,Accidental,100-500 Records,FN,THRNI,223.606797749979,luscinia luscinia,A rare vagrant,luscinia luscinia,13075,Luscinia luscinia,Thrush Nightingale
Nightingale,http://app.bto.org/birdfacts/results/bob11040.htm,Luscinia megarhynchos,"Migrant Breeder, Passage Visitor",1000 - 10000 Males,N.,NIGAL,3162.277660168381,luscinia megarhynchos,A breeding summer visitor,luscinia megarhynchos,13079,Luscinia megarhynchos,Common Nightingale
White-throated Robin,http://app.bto.org/birdfacts/results/bob11170.htm,Irania gutturalis,Accidental,1-10 Records,,WHTRO,3.1622776601683795,irania gutturalis,A rare vagrant,irania gutturalis,13196,Irania gutturalis,White-throated Robin
Siberian Rubythroat,http://app.bto.org/birdfacts/results/bob11050.htm,Calliope calliope,Accidental,10 - 100 Records,,SIBRU,31.622776601683803,calliope calliope,A rare vagrant,calliope calliope,145064,Calliope calliope,Siberian Rubythroat
Red-flanked Bluetail,http://app.bto.org/birdfacts/results/bob11130.htm,Tarsiger cyanurus,Scarce Visitor,100-500 Records,,REFBL,223.606797749979,tarsiger cyanurus,A rare vagrant,tarsiger cyanurus,210941,Tarsiger cyanurus,Red-flanked Bluetail
Pied Flycatcher,http://app.bto.org/birdfacts/results/bob13490.htm,Ficedula hypoleuca,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,PF,PIEFL,31622.776601683774,ficedula hypoleuca,A breeding summer visitor,ficedula hypoleuca,204512,Ficedula hypoleuca,European Pied Flycatcher
Collared Flycatcher,http://app.bto.org/birdfacts/results/bob13480.htm,Ficedula albicollis,Accidental,10 - 100 Records,,COLFL,31.622776601683803,ficedula albicollis,A rare vagrant,ficedula albicollis,13133,Ficedula albicollis,Collared Flycatcher
Red-breasted Flycatcher,http://app.bto.org/birdfacts/results/bob13430.htm,Ficedula parva,Scarce Visitor,100-500 Birds,FY,REBFL,223.606797749979,ficedula parva,A scarce migrant,ficedula parva,13113,Ficedula parva,Red-breasted Flycatcher
Taiga Flycatcher,http://app.bto.org/birdfacts/results/bob13432.htm,Ficedula albicilla,Accidental,1-10 Records,,TAIFL,3.1622776601683795,ficedula albicilla,A rare vagrant,ficedula albicilla,68519,Ficedula albicilla,Taiga Flycatcher
Black Redstart,http://app.bto.org/birdfacts/results/bob11210.htm,Phoenicurus ochruros,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,BX,BLARE,31.622776601683803,phoenicurus ochruros,"A scarce breeding resident, passage migrant & winter visitor",phoenicurus ochruros,13000,Phoenicurus ochruros,Black Redstart
Redstart,http://app.bto.org/birdfacts/results/bob11220.htm,Phoenicurus phoenicurus,"Migrant Breeder, Passage Visitor",100000 - 500000 Pairs,RT,REDST,223606.7977499789,phoenicurus phoenicurus,,,12992,Phoenicurus phoenicurus,Common Redstart
Moussier’s Redstart,http://app.bto.org/birdfacts/results/bob11270.htm,Phoenicurus moussieri,Accidental,1-10 Records,,MOURE,3.1622776601683795,phoenicurus moussieri,,,12999,Phoenicurus moussieri,Moussier's Redstart
Rock Thrush,http://app.bto.org/birdfacts/results/bob11620.htm,Monticola saxatilis,Accidental,10 - 100 Records,OH,ROCTH,31.622776601683803,monticola saxatilis,A rare vagrant,monticola saxatilis,13140,Monticola saxatilis,Rufous-tailed Rock-Thrush
Blue Rock Thrush,http://app.bto.org/birdfacts/results/bob11660.htm,Monticola solitarius,Accidental,1-10 Records,,BLRTH,3.1622776601683795,monticola solitarius,A rare vagrant,monticola solitarius,13141,Monticola solitarius,Blue Rock-Thrush
Whinchat,http://app.bto.org/birdfacts/results/bob11370.htm,Saxicola rubetra,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,WC,WHINC,31622.776601683774,saxicola rubetra,A breeding summer visitor & passage migrant,saxicola rubetra,12908,Saxicola rubetra,Whinchat
Stonechat,http://app.bto.org/birdfacts/results/bob11393.htm,Saxicola rubicola,Migrant/Resident Breeder,10000 - 100000 Pairs,SC,STOCH,31622.776601683774,saxicola rubicola,,,201192,Saxicola rubicola,European Stonechat
Siberian Stonechat,http://app.bto.org/birdfacts/results/bob11394.htm,Saxicola maurus,Accidental,100-500 Records,,,223.606797749979,saxicola maurus,A rare vagrant,saxicola maurus,201193,Saxicola maurus,Siberian Stonechat
Stejneger's Stonechat,http://app.bto.org/birdfacts/results/bob11392.htm,Saxicola stejnegeri,Accidental,1-10 Records,,,3.1622776601683795,saxicola stejnegeri,,,523167,Saxicola maurus stejnegeri,Siberian Stonechat (Stejneger's)
Wheatear,http://app.bto.org/birdfacts/results/bob11460.htm,Oenanthe oenanthe,"Migrant Breeder, Passage Visitor",100000 - 500000 Pairs,W.,WHEAT,223606.7977499789,oenanthe oenanthe,,,12822,Oenanthe oenanthe,Northern Wheatear
Isabelline Wheatear,http://app.bto.org/birdfacts/results/bob11440.htm,Oenanthe isabellina,Accidental,10 - 100 Records,,ISAWH,31.622776601683803,oenanthe isabellina,A rare vagrant,oenanthe isabellina,12837,Oenanthe isabellina,Isabelline Wheatear
Desert Wheatear,http://app.bto.org/birdfacts/results/bob11490.htm,Oenanthe deserti,Accidental,100-500 Records,,DESWH,223.606797749979,oenanthe deserti,A rare vagrant,oenanthe deserti,12842,Oenanthe deserti,Desert Wheatear
Black-eared Wheatear,http://app.bto.org/birdfacts/results/bob11480.htm,Oenanthe hispanica,Scarce Visitor,10 - 100 Records,,BLEWH,31.622776601683803,oenanthe hispanica,A rare vagrant,oenanthe hispanica,12825,Oenanthe hispanica,Black-eared Wheatear
Pied Wheatear,http://app.bto.org/birdfacts/results/bob11470.htm,Oenanthe pleschanka,Accidental,10 - 100 Records,PI,PIEWH,31.622776601683803,oenanthe pleschanka,A rare vagrant,oenanthe pleschanka,12830,Oenanthe pleschanka,Pied Wheatear
White-crowned Black Wheatear,http://app.bto.org/birdfacts/results/bob11570.htm,Oenanthe leucopyga,Accidental,1-10 Records,,WHCBL,3.1622776601683795,oenanthe leucopyga,,,12832,Oenanthe leucopyga,White-crowned Wheatear
Dipper,http://app.bto.org/birdfacts/results/bob10500.htm,Cinclus cinclus,Resident Breeder,10000 - 100000 Pairs,DI,DIPPE,31622.776601683774,cinclus cinclus,,,7647,Cinclus cinclus,White-throated Dipper
House Sparrow,http://app.bto.org/birdfacts/results/bob15910.htm,Passer domesticus,Resident Breeder,5.1E06 Pairs,HS,HOUSP,5100000.0,passer domesticus,A resident breeding species,passer domesticus,13858,Passer domesticus,House Sparrow
Spanish Sparrow,http://app.bto.org/birdfacts/results/bob15920.htm,Passer hispaniolensis,Accidental,10 - 100 Records,,SPASP,31.622776601683803,passer hispaniolensis,A rare vagrant,passer hispaniolensis,13854,Passer hispaniolensis,Spanish Sparrow
Tree Sparrow,http://app.bto.org/birdfacts/results/bob15980.htm,Passer montanus,"Resident Breeder, Passage Visitor",100000 - 500000 Territories,TS,TRESP,223606.7977499789,passer montanus,,,13851,Passer montanus,Eurasian Tree Sparrow
Rock Sparrow,http://app.bto.org/birdfacts/results/bob16040.htm,Petronia petronia,Accidental,1-10 Records,,ROCSP,3.1622776601683795,petronia petronia,A rare vagrant,petronia petronia,14076,Petronia petronia,Rock Sparrow
Alpine Accentor,http://app.bto.org/birdfacts/results/bob10940.htm,Prunella collaris,Accidental,10 - 100 Records,,ALPAC,31.622776601683803,prunella collaris,A rare vagrant,prunella collaris,13996,Prunella collaris,Alpine Accentor
Siberian Accentor,http://app.bto.org/birdfacts/results/bob10860.htm,Prunella montanella,Accidental,10 - 100 Records,,,31.622776601683803,prunella montanella,A rare vagrant with multiple records in 2016,prunella montanella,13983,Prunella montanella,Siberian Accentor
Dunnock,http://app.bto.org/birdfacts/results/bob10840.htm,Prunella modularis,"Resident Breeder, Passage/Winter Visitor",2.3E06 Territories,D.,DUNNO,2300000.0,prunella modularis,A resident breeding species,prunella modularis,13988,Prunella modularis,Dunnock
Yellow Wagtail,http://app.bto.org/birdfacts/results/bob10170.htm,Motacilla flava,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,YW,YELWA,31622.776601683774,motacilla flava,,,204545,Motacilla flava,Western Yellow Wagtail
Eastern Yellow Wagtail,http://app.bto.org/birdfacts/results/bob10239.htm,Motacilla tschutschensis,Accidental,1-10 Records,,,3.1622776601683795,motacilla tschutschensis,,,145207,Motacilla tschutschensis,Eastern Yellow Wagtail
