run_id,instance_id,instance_type,logical_cpus,storage_target,storage_layout,ebs_throughput_mibps,operation,operation_label,variant,chart_series,phase,threads,effective_threads,sample_timestamp_utc,sample_index,elapsed_seconds,absolute_elapsed_seconds,cpu_total_percent,cpu_average_percent,host_cpu_percent,duckdb_thread_cpu_percent,raw_phase_name,phase_duration_seconds,status
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.051176+00:00,40,4.021,57.522,109.57,0.86,0.856016,1.712031,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.151469+00:00,41,4.122,57.623,99.77,0.78,0.779453,1.558906,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.251770+00:00,42,4.222,57.723,99.69,0.78,0.778828,1.557656,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.352144+00:00,43,4.322,57.823,109.66,0.86,0.856719,1.713437,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.452443+00:00,44,4.423,57.924,109.66,0.86,0.856719,1.713437,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.552739+00:00,45,4.523,58.024,109.66,0.86,0.856719,1.713437,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.653062+00:00,46,4.623,58.124,99.69,0.78,0.778828,1.557656,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.753455+00:00,47,4.724,58.225,109.66,0.86,0.856719,1.713437,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.853847+00:00,48,4.824,58.325,179.58,1.4,1.402969,2.805938,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:07.954216+00:00,49,4.924,58.425,209.18,1.63,1.634219,3.268438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
